"Domain","Timestamp","Resolver","Status","Query Time"
"test.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","64.0"
"test0.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","28.2"
"test1.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.1"
"test2.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.6"
"test3.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test4.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","27.1"
"test5.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","24.7"
"test6.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.0"
"test7.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test8.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","24.5"
"test9.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test10.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","26.9"
"test11.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test12.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.8"
"test13.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test14.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","26.4"
"test15.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","26.7"
"test16.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","28.2"
"test17.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","26.5"
"test18.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.7"
"test19.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.1"
"test20.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.5"
"test21.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test22.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test23.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test24.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","25.9"
"test25.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:55 UTC","16.51.167.219@53","SERVFAIL","26.1"
"test26.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","27.3"
"test27.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.1"
"test28.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","27.0"
"test29.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.9"
"test30.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test31.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.5"
"test32.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","28.7"
"test33.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.5"
"test34.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test35.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.7"
"test36.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.3"
"test37.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.0"
"test38.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","24.9"
"test39.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.0"
"test40.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.1"
"test41.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.5"
"test42.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.7"
"test43.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","27.8"
"test44.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.0"
"test45.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test46.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.5"
"test47.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","27.0"
"test48.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","28.3"
"test49.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.5"
"test50.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.0"
"test51.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test52.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","28.3"
"test53.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test54.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:56 UTC","16.51.167.219@53","SERVFAIL","26.0"
"test55.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","25.6"
"test56.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","28.7"
"test57.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","26.7"
"test58.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","27.1"
"test59.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","25.9"
"test60.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","27.8"
"test61.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","27.8"
"test62.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","24.7"
"test63.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","25.8"
"test64.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test65.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test66.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test67.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","25.6"
"test68.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","26.9"
"test69.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","27.0"
"test70.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","25.8"
"test71.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","25.6"
"test72.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","25.1"
"test73.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","27.8"
"test74.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","25.0"
"test75.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","26.0"
"test76.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","26.0"
"test77.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","27.7"
"test78.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","28.6"
"test79.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","27.1"
"test80.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","27.2"
"test81.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","27.4"
"test82.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:57 UTC","16.51.167.219@53","SERVFAIL","26.0"
"test83.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test84.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","28.2"
"test85.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","27.3"
"test86.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","25.9"
"test87.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test88.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test89.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","28.1"
"test90.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test91.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.7"
"test92.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test93.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test94.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","25.7"
"test95.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","25.5"
"test96.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.4"
"test97.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.1"
"test98.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","27.2"
"test99.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.1"
"test100.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","27.8"
"test101.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test102.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","27.2"
"test103.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","27.5"
"test104.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.7"
"test105.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","27.7"
"test106.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.7"
"test107.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","27.2"
"test108.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.5"
"test109.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test110.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:58 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test111.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.9"
"test112.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test113.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test114.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.9"
"test115.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.1"
"test116.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","27.0"
"test117.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","25.0"
"test118.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.2"
"test119.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.3"
"test120.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","24.6"
"test121.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","24.6"
"test122.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test123.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","27.2"
"test124.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.5"
"test125.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","27.7"
"test126.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.4"
"test127.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","25.7"
"test128.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.7"
"test129.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.7"
"test130.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","24.8"
"test131.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","24.9"
"test132.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.3"
"test133.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.2"
"test134.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test135.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.4"
"test136.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","24.9"
"test137.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","26.0"
"test138.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:07:59 UTC","16.51.167.219@53","SERVFAIL","24.8"
"test139.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","27.9"
"test140.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","28.4"
"test141.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","25.7"
"test142.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test143.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","24.8"
"test144.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","27.1"
"test145.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","28.2"
"test146.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","25.2"
"test147.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test148.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","28.8"
"test149.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","26.1"
"test150.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test151.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","27.9"
"test152.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","25.6"
"test153.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","27.1"
"test154.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","27.1"
"test155.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","25.9"
"test156.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","27.1"
"test157.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","27.2"
"test158.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","25.7"
"test159.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test160.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","27.1"
"test161.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test162.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","25.7"
"test163.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","26.5"
"test164.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","25.7"
"test165.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:00 UTC","16.51.167.219@53","SERVFAIL","26.0"
"test166.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","25.6"
"test167.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","25.1"
"test168.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test169.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","25.8"
"test170.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","25.5"
"test171.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","27.3"
"test172.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","24.9"
"test173.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","25.8"
"test174.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","27.0"
"test175.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","27.7"
"test176.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","27.7"
"test177.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","27.8"
"test178.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","25.5"
"test179.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","25.1"
"test180.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","26.3"
"test181.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","25.2"
"test182.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test183.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","26.5"
"test184.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","27.0"
"test185.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","28.4"
"test186.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test187.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","28.6"
"test188.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","26.9"
"test189.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","28.3"
"test190.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:01 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test191.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","30.1"
"test192.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","25.3"
"test193.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test194.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test195.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","26.6"
"test196.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","25.1"
"test197.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test198.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","27.7"
"test199.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","27.4"
"test200.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","24.7"
"test201.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","25.5"
"test202.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","24.9"
"test203.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","25.1"
"test204.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","27.0"
"test205.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","25.9"
"test206.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","27.8"
"test207.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","25.4"
"test208.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","27.0"
"test209.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","26.8"
"test210.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","28.3"
"test211.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","28.0"
"test212.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","24.6"
"test213.ECDSAP256SHA256-SYDNEY.test","2026-08-06 08:08:02 UTC","16.51.167.219@53","SERVFAIL","24.9"
