"Domain","Timestamp","Resolver","Status","Query Time"
"test.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","70.0"
"test0.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","27.2"
"test1.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","27.1"
"test2.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","26.5"
"test3.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","26.5"
"test4.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","27.4"
"test5.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","25.3"
"test6.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","25.4"
"test7.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","25.9"
"test8.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","27.2"
"test9.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","27.1"
"test10.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","25.0"
"test11.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","25.1"
"test12.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","25.4"
"test13.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","25.4"
"test14.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","28.2"
"test15.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","26.6"
"test16.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","25.0"
"test17.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","27.8"
"test18.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","25.6"
"test19.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","28.2"
"test20.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","27.2"
"test21.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","27.2"
"test22.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","27.1"
"test23.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","26.5"
"test24.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","26.7"
"test25.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:18 UTC","16.51.167.219@53","NOERROR","26.3"
"test26.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.3"
"test27.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","27.2"
"test28.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.7"
"test29.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.4"
"test30.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","27.2"
"test31.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","27.5"
"test32.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.5"
"test33.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","27.1"
"test34.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","26.8"
"test35.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","26.5"
"test36.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.8"
"test37.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","26.8"
"test38.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.6"
"test39.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","24.4"
"test40.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.8"
"test41.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.7"
"test42.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","26.7"
"test43.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","26.0"
"test44.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.6"
"test45.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","26.1"
"test46.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","24.7"
"test47.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.7"
"test48.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.2"
"test49.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.2"
"test50.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","26.6"
"test51.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","25.0"
"test52.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","26.5"
"test53.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:19 UTC","16.51.167.219@53","NOERROR","26.9"
"test54.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.2"
"test55.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.8"
"test56.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","24.9"
"test57.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","28.2"
"test58.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","27.6"
"test59.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","24.7"
"test60.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.3"
"test61.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","28.6"
"test62.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.1"
"test63.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.4"
"test64.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","27.1"
"test65.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.9"
"test66.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","24.5"
"test67.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.3"
"test68.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.4"
"test69.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.7"
"test70.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.3"
"test71.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.4"
"test72.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.4"
"test73.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.3"
"test74.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.4"
"test75.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.3"
"test76.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.5"
"test77.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.4"
"test78.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","24.8"
"test79.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","26.0"
"test80.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.5"
"test81.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:20 UTC","16.51.167.219@53","NOERROR","25.2"
"test82.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","26.4"
"test83.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","26.5"
"test84.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","27.4"
"test85.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","24.5"
"test86.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","26.2"
"test87.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","26.9"
"test88.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","25.9"
"test89.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","24.8"
"test90.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","25.3"
"test91.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","25.8"
"test92.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","25.6"
"test93.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","26.7"
"test94.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","25.2"
"test95.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","28.9"
"test96.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","25.8"
"test97.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","27.4"
"test98.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","26.2"
"test99.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","24.9"
"test100.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","24.7"
"test101.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","25.5"
"test102.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","27.5"
"test103.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","26.6"
"test104.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","27.1"
"test105.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","28.1"
"test106.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","26.8"
"test107.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","24.9"
"test108.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","27.1"
"test109.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","25.8"
"test110.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:21 UTC","16.51.167.219@53","NOERROR","28.2"
"test111.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","26.0"
"test112.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","27.0"
"test113.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","26.0"
"test114.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.2"
"test115.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","27.2"
"test116.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","28.3"
"test117.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","24.8"
"test118.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.5"
"test119.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.5"
"test120.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","27.5"
"test121.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","27.7"
"test122.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","24.9"
"test123.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","26.3"
"test124.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","26.5"
"test125.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.9"
"test126.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.7"
"test127.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","27.2"
"test128.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.1"
"test129.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.8"
"test130.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","26.7"
"test131.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","27.2"
"test132.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","24.5"
"test133.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.3"
"test134.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.7"
"test135.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","26.1"
"test136.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","27.7"
"test137.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","25.2"
"test138.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:22 UTC","16.51.167.219@53","NOERROR","27.1"
"test139.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.1"
"test140.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","27.2"
"test141.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.0"
"test142.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","27.5"
"test143.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.2"
"test144.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","25.5"
"test145.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","25.9"
"test146.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.2"
"test147.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.7"
"test148.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","25.2"
"test149.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.3"
"test150.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","25.3"
"test151.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.2"
"test152.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","25.5"
"test153.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.7"
"test154.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","28.0"
"test155.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","27.9"
"test156.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","25.4"
"test157.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","27.6"
"test158.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","25.4"
"test159.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","24.8"
"test160.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","25.4"
"test161.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.9"
"test162.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","26.4"
"test163.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","28.7"
"test164.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","27.1"
"test165.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:23 UTC","16.51.167.219@53","NOERROR","25.7"
"test166.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","26.1"
"test167.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.8"
"test168.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.6"
"test169.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","26.6"
"test170.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.0"
"test171.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","27.0"
"test172.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.9"
"test173.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","28.7"
"test174.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.7"
"test175.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.5"
"test176.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","26.8"
"test177.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","26.4"
"test178.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","26.4"
"test179.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.8"
"test180.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.4"
"test181.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","27.1"
"test182.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","24.9"
"test183.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","24.7"
"test184.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","26.4"
"test185.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","26.5"
"test186.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.9"
"test187.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","26.8"
"test188.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","24.9"
"test189.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","26.3"
"test190.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.2"
"test191.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","27.1"
"test192.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.2"
"test193.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.7"
"test194.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:24 UTC","16.51.167.219@53","NOERROR","25.8"
"test195.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","26.9"
"test196.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","25.6"
"test197.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","26.7"
"test198.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","26.5"
"test199.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","26.5"
"test200.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","27.9"
"test201.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","26.4"
"test202.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","25.9"
"test203.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","25.4"
"test204.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","28.8"
"test205.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","26.0"
"test206.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","24.9"
"test207.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","25.6"
"test208.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","25.2"
"test209.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","27.6"
"test210.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","26.8"
"test211.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","27.8"
"test212.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","25.3"
"test213.ECDSAP256SHA256-SYDNEY0608.test","2026-08-07 05:11:25 UTC","16.51.167.219@53","NOERROR","24.5"
